,rating,review,app,source
27,4,"I’ve reported dozens of instances of city roots raising sidewalks, creating tripping hazards. The city has fixed the majority of them within 24-48 hours of reporting them in some cases. The app isn’t perfect and some tickets for things like abandoned vehicles in an alley or overgrown brush blocking sidewalks don’t get addressed because it is up the homeowner or vehicle owner to deal with their crappy eyesores and lack of care. But at least it seems that whatever is in the power of the city to easily deal with gets logged and fixed fairly promptly. Even a pothole in an intersection was tagged for repair within a couple business days of my reporting it.",FindItFixIt,Apple
28,5,"Our family with two kids live in a great seattle neighborhood with neat parks and lots of things to do. We LOVE using this app so we can productively file our concerns about illegal encampments, litter piling up, illegal parking, and illegal dumping to the city. We find it very effective in addressing the issues we see and they do get addressed. When they don’t, we submit another ticket. It works. Stop gossiping on next door and do something that can be truly tracked. You can help our neighborhoods be safe for families.",FindItFixIt,Apple
29,1,"App won’t let me report a broken street lamp unless I go there and find a 7 digit number on some lamp pole. I gave address , photo, description, issue, and that wasn’t enough? If you know the address and have a photo of the issue why is that not enough?! App is trash, no wonder everything is broken! Make it so difficult to report a problem and then nobody will report, so nothing to fix right??!!",FindItFixIt,Apple
30,5,"I've only used it to report graffiti. I was surprised how easy it was, much better and faster than calling it in. You can take a picture, use GPS, write descriptions, and give your contact info if you want updates. They came out in a few days and painted over the graffiti. Since you are sending so much info it's best to be on LTE or wifi when you submit, otherwise it takes a while. There needs to be more apps like this.",FindItFixIt,Apple
31,5,"I was very skeptical about the City's ability to respond quickly to the volume of requests that would stem from an interface like this, but I was pleasantly surprised! I submitted a request for a tree to be trimmed that was dangerously blocking sight lines for drivers and pedestrians, and the work was done by close of business the same day. I also like the clean and simple design of the app. If the city can keep up the good work, this will be a great tool.",FindItFixIt,Apple
32,5,I have used this app to report my street for icy conditions. Signs were put up within hours. I have reported many pothole and steer issues and all have been fixed within days. So e potholes were even filled to cover the few days before the road was completely re paved.,FindItFixIt,Apple
33,5,"Don’t usually write reviews but felt that I needed to counterbalance the reviews that were not about the app itself but about political aspects of having the app This app allowed me to easily report needle use and discard at a children’s playground and public indecency in front of a library. As a parent in Seattle, I’m glad to have a mechanism to report this to the city.",FindItFixIt,Apple
34,5,"Everything I’ve reported, from graffiti to illegal dumping has been quickly taken care of. It’s great to take picture of issue. have a map to use to report problem. A lot of poor reviews are related To things the app wasn’t created for.",FindItFixIt,Apple
35,5,"I’ve used this app three times. The first 2 got fixed almost immediately. I’ve also recently reported a leaking fire hydrant. That isn’t fixed yet, but I’m hopeful. I do recommend this app. It usually works quickly.",FindItFixIt,Apple
36,5,"Have made 5 or 6 reports of traffic signs knocked down, potholes, and the like. Issues always fixed within a week, and in some cases, the next day! Thanks to those to developed this app and to those who respond to the complaints.",FindItFixIt,Apple
37,5,I found this app to be very user-friendly and I’m glad the city uses it to track data and respond to complaints. Really appreciate not having to call to report things.,FindItFixIt,Apple
38,5,"Can’t confirm yet if the city is getting my reports, but it’s certainly easier to use this app than to figure out which form to submit on the web page.",FindItFixIt,Apple
39,5,"I’ve found the app easy to use, and the response from the city was surprisingly quick. I’ve sent in reports about road signs made illegible by graffiti, burnt out street signals, in every case repairs were prompt.",FindItFixIt,Apple
40,3,"I noticed an unsafe sidewalk and wrote down the address but could't easily enter it on the app later. Do I have to submit a report from the actual location where I see the problem? If so, that's awkward.",FindItFixIt,Apple
41,2,"After i used the in-app button to call the customer service bureau the app crashes as soon as i try and open it, making it useless. Even when it did work the city closed the case without taking care of the illegal dumping or communicating with me on the status of my request. Nice idea but buggy app and ineffective service from the city.",FindItFixIt,Apple
42,5,There's been some illegal dumping near my neighborhood and the city had responded in a considerable amount of time. I appreciate all the service men and women who tend to the needs of our city. Thank you for all that you do.,FindItFixIt,Apple
43,1,"Shame this could be a useful tool for Seattoe citizens but Seattle simply doesn't respond or act on most reports. Our business's restricted loading Bay is blocked daily by the same vehicle and all reports and requests for enforcement are immediately closed with no response. This is the same for refuse, graffiti, and encampments set up in parks and playgrounds. If the city won't act on reports, there is no point in reporting.",FindItFixIt,Apple
44,5,"This is a great service and nice to make it available via a mobile app. Integration of camera and GPS makes for accurate, real-time reports. Maybe add scanning the license plate for vehicle reports.",FindItFixIt,Apple
45,5,"The homeless enablers are faking reviews to lower the score. The vagrants are out of control but the app is about fixing many problems. They just added the tents to it and its a huge problem. Garbage, discarded needles thefts. Report em.",FindItFixIt,Apple
46,5,Thank you city of Seattle for making it easy to report issues!,FindItFixIt,Apple
47,4,The preset categories under ‘new request’ should include one for damaged sidewalks. This is an available option on the City of Seattle website. I know there is a general “other inquiry” option but sidewalk-related matters are likely common.,FindItFixIt,Apple
48,5,This app is an amazing resource for graffiti and litter cleanup. Ignore the 1-star reviews from people who are expecting the app to magically fix problems that the city itself can't.,FindItFixIt,Apple
49,5,I wish every city had an app like this. It makes it easy to do your part.,FindItFixIt,Apple
50,1,"It’s interesting that in the description of the app, the city does not promise to do anything in response to problems that are reported. As other users have reported, issues are “closed” without any action, even though the app requires a description, exact location, and a photo. I deleted the app, because I can find other ways to waste my time.",FindItFixIt,Apple
51,5,"Love this app, First Hill area, I have used it twice in the last three months and response time for each incident was days, very impressed.",FindItFixIt,Apple
52,1,"On paper this sounds like a good idea. But I’ve submitted multiple parking enforcement issues and the reviewer has closed them without coming out even though there is a clear violation of parking laws, which in this case impact pedestrian safety. Don’t waste your time, the parking attendants will continue to ticket who they choose.",FindItFixIt,Apple
53,3,They took a straight forward app and messed it up. I do like how you can add multiple pictures but moving away from simple menus was a mistake,FindItFixIt,Apple
54,1,"Doesn’t appear to work. Downloaded this app and when attempting to add a new request nothing happens. Even trying to use the plus sign in the upper right corner, nothing happens. What’s the use of the app if you can’t make a report? I deleted the app and redownloaded it and got the same results.",FindItFixIt,Apple
