Question Type,Interviewer,Question,Respondent 1,Respondent 2,Notes
,,"Q8. ""At the top of the home screen, there was a banner showing things like how many reports had been resolved this week and the average resolution time in the area. Did you notice that? What did you think of it?""","Yes, I noticed it. I thought it was really helpful. The average resolution time was especially useful because it gave me an idea of how many days it might take for my report to be resolved. It made the app feel more trustworthy.","Yes, I noticed it, and it reassured me that my report will get used.",
,,"Q9. ""When you were creating the report, the app offered to detect the issue type from a photo using AI. What was your reaction to that feature? Would you trust it?""","I thought the AI photo detection feature was creative and convenient. But honestly, I would probably just use the icons instead. I’m not sure if the AI would always choose the right category, especially if the photo is unclear or hard to identify.",I doubted it will work. It will be great if it works well though.,
,,"Q10. ""Was there anything in the app that confused you, felt unnecessary, or that you wished worked differently?""","I wasn’t sure if the app would require users to sign up or log in. I think it would be better if the process stayed simple, so people could report issues without creating an account. It would also be nice if anonymous reporting were allowed.",The features in the main landing page do not address the key usecase. I would prefer the main page to function as the reporting page. ,
,,"Q11. ""Overall, does this app feel like something you could imagine a city actually providing? Does it feel official and credible enough that you would trust it with a report?""","Yes, I could imagine a city providing this app. It does not really look like a typical city government app, but I mean that in a good way. A lot of city apps feel kind of outdated or inefficient, but this one feels more modern and easy to use while still looking official enough to trust.","It doesn't look like an app developed by the city. However, it feels credible.",
Qualitative,Patrick,"Q6. ""When you first saw the home screen, what did you think the app was for? Did anything stand out to you right away (either from the video or when you were using it yourself)?""",Since I saw the presentation video I understood that this was the reporting home page of a city repair app. The color representations were appealing to the eye and made a lot of sense.,"I observed the video first and what stood out to me first was that the screen was similar to Google Maps.  It was clear to see that the screen was mapping my location but I wasn't sure on the specific purpose until the video explained more. Once I was finished with the video and opened the home screen, it was clear to see the purpose of the APP.",
,,"Q7. ""After submitting the report, you could see a status timeline showing the stages from submitted to resolved. How did that make you feel about whether your report would actually be addressed?""","Yes, it made me feel confident that the issue had been reported correctly and I felt confident that I knew how to follow up on the status of the report later. It made me feel informed of what the process would look like.","I could immediately see the status of my report and the stages for resolution. I was very impressed with how easy the reporting was and felt pretty confident that my report would be addressed in a timely manner, more so than if I made a call to the city. ",
,,"Q8. ""At the top of the home screen, there was a banner showing things like how many reports had been resolved this week and the average resolution time in the area. Did you notice that? What did you think of it?""","Yes I did notice and I thought that was a great idea. I could see that going both ways actually, where I could be discouraged if there wasn't very many issues being taken care of. ",I did notice it and felt that this would be a very useful tool to the APP users. It allows the user to see if what they want to report was already reported and reported accurately as well as the progess of previousy reported issues. ,
,,"Q9. ""When you were creating the report, the app offered to detect the issue type from a photo using AI. What was your reaction to that feature? Would you trust it?""",I thought it was interesting but it was not correct the first time I used it so I probably would not trust it completely moving forward.,"I thought the feature would be useful to someone that may be in a hurry. I'm 50/50 on the trust factor. If users were using it for it's purpose, it would be trustworthy but if the user was using it to joke around and submit random pictures, it would be not really useful. ","AI photo detection for Kayti started off buggy, because she chose pothole for the issue, and the images that came up did not include a pothole. She chose the graffiti image since it was the closest, and then noticed that the ""AI detection"" did not verify that the image was of graffiti while her issue was of a pothole. "
,,"Q10. ""Was there anything in the app that confused you, felt unnecessary, or that you wished worked differently?""","When changing the location in the report, it did not place the report icon where I had selected. It seemed to default location of the user to the middle of the screen, and the location issue to the middle of the screen as well.","For a first time user, I felt it was very easy and met it's purpose. To make recommendations or how things should work differently, I would have to use it more. ",
,,"Q11. ""Overall, does this app feel like something you could imagine a city actually providing? Does it feel official and credible enough that you would trust it with a report?""",Yes I would be excited if my city had an app as easy to use as this one! It would be especially encouraging to know that the location services were spot on and effortless to report! And the AI photo detection! And being able to manage the report on the home map screen as well as the my reports tab.,"I think a city official and residents would very much find this useful! Think of the person at city hall answering phone calls on a daily basis.... If the APP was available, I think getting a tester city would be valuable and I would trust it to try it. ",
Qualitative,Svitlana,"Q6. ""When you first saw the home screen, what did you think the app was for? Did anything stand out to you right away (either from the video or when you were using it yourself)?""",It is clear to me when you open it up that it is incident tracking of some kind. The pictographs on the icons felt like they were trying to do too much because the range of possibilities is very high - maybe it's too cluttered? It might not serve its intended purpose and lead to confusion. Although maybe it's okay that people learn what they mean over time.,"Having watched the demo video, I had more context than most. Even doing something super simple like an onboarding overlay would be really helpful. I've used tools like this before and it was very quick to orient myself in it. Being able to answer my own questions felt really good - the legend was helpful. ",
,,"Q7. ""After submitting the report, you could see a status timeline showing the stages from submitted to resolved. How did that make you feel about whether your report would actually be addressed?""","I liked it a lot! I liked that it said ""this has been submitted to _____"" because it implied to me that it could be submitted to different departments, which signaled intelligent filtering.","Massively helpful, big contribution. Transparency and trust building and expectation setting was really assisted by this feature. Even having a baseline expectation brought me a lot of comfort.",
,,"Q8. ""At the top of the home screen, there was a banner showing things like how many reports had been resolved this week and the average resolution time in the area. Did you notice that? What did you think of it?""","Yes; my thought was ""oh my god, we're holding our municipality to a very high bar"" because trust will be made or broken by that banner. I am concerned about the volatility of that because we don't know how people are going to use the app and the statistics can be unintentionally skewed by the developers of the app depending on how they are being displayed. I wouldn't want the banner up until we've looked at at least a month's worth of incident data because the consequences could be very high.","Yes; liked it a lot. If I were to be in here often, maybe I don't need to see it all the time. This could be a really great space for communicating timelines (for example, ""things are taking longer than normal""). Those numbers are always going to be imperfect, statistics often carry complications. Still prefers fair and truthful, even if it's adjusted - could maybe switch to response time, add a response time metric.",
,,"Q9. ""When you were creating the report, the app offered to detect the issue type from a photo using AI. What was your reaction to that feature? Would you trust it?""","I'd try it! And it's pretty easy to vet it. Yes I would trust it, but I'm not going to blindly submit whatever it generates. I wouldn't anticipate it getting it right all the time because I don't know what it would generate. I think it would also be good to auto face-blur or ban submissions containing images of people's faces. ","I loved it! I think I would trust it - for me, I want issue reporting to be as simple and straightforward as possible. This feels like a good use case for increasing my speed and helping me through the process. I see something and want to do something about it quickly, and I only have so much time. Being able to edit or add more information makes me feel a lot better. ",
,,"Q10. ""Was there anything in the app that confused you, felt unnecessary, or that you wished worked differently?""",I still wish that there was still a way to submit a report via SMS for accessibility. ,"I would love to be able to upvote existing issues, or piggyback to increase the gravity of the report. ",
,,"Q11. ""Overall, does this app feel like something you could imagine a city actually providing? Does it feel official and credible enough that you would trust it with a report?""","This app feels too good to be true, would be beyond my expectations for what a municipal body would produce. ","Yes - I think it's already being done in a lot of different ways and less elegantly. On being the reporter side - it feels simple, actionable, and intentional about the core focus of the app. I would hope that that would drive cities to really narrow their focus. It think it does feel credible - even the name Share&Repair helped build the credibility, it feels narrow and actionable, a good way for me to look around me. ",
