date,isEdited,rating,review,title,userName
2023-10-13T19:51:21Z,False,3,"I walked by a city electrical or some sort of cable box, and it was wide-open with wires were hanging everywhere. But when you’re in the app, there’s no category for this. Or, another example is construction damage to roads, which isn’t a pothole issue, but more about the crappy job they did filling damage to the roads, almost making it worse. Where do I report that?",Categories don’t fit all problems,Kkcb32
2024-06-08T20:57:49Z,False,2,"The app is a cool idea and works great for submitting issues, but there is no detail or communication after you submit. My case was just marked “closed” one day and there were no details. Even a single sentence would be nice. That was disappointing as I had hope for this app.",No Response,mikegrenky
2025-09-05T18:13:32Z,False,4,It would be great if there was a way to cancel the request as sometimes the issue gets resolved and I feel guilty for making a request and don’t want to waste the time of the response team.,Response time is great. However…,CynicalSkept1c
2024-06-07T18:36:06Z,False,1,"This is a waste of taxpayer dollars. The city does no follow up or take action on abandoned car reports. After 60 days it all expires and you get a message saying “no action possible” and case closed. Why would the city would spend money on an app to report things when it doesn’t have capacity to solve anything? Not surprising, but still frustrating.",Useless,lucky_migz
2025-09-28T20:00:04Z,False,1,"The app exists to create the appearance that Seattle cares about people, they do nothing to address issues with sidewalks and accessibility. 
Don’t bother with this app they don’t pay attention and you’re just wasting your time.

If they cared they would audit the system they are in charge of and preemptively take action. 
These folks hate humans, particularly impaired ones.",This app is a joke,troyw
2024-09-17T18:06:25Z,False,2,"Location map doesn’t allow search. Very few categories compared to the variety of issues facing our city. Only 3 stars on app store. Sorry to be so critical, but there is no excuse for such a poorly managed app.",Categories are useless for many issues.,Rumsfeld28
2025-05-12T13:48:05Z,False,2,"Over a period of 48 hours I’ve reported an overtime parked car in a 30 min load zone with no acknowledgment or response. Four other reports of parking by a hydrant/stop sign/no parking zone on four separate occupances
have also been ignored. What’s up? Is Find It Fix It still operable?",Anyone there??,Bjeel
2024-10-16T02:39:48Z,False,2,"The app will not let me submit reports on cellular data, only when I’m connected to WiFi (yes, I’ve verified cellular data is enabled). This makes it almost useless, as the scope is for SDOT ROW, and there’s very little WiFi in the middle of the road.",App only lets me submit if connected to WiFi,Luckymiss
2024-07-10T18:11:05Z,False,4,"And if we used it, City would improve it.

(Tho I am also a bit puzzled by the complaints.)",Not bad at all,David in Seattle
2023-07-01T17:39:27Z,False,1,"First the map picks and address about a mile away from where it located me. Then it never allows the submit button to be active. There is t a place to report problems with the app. 
It kind of makes you think they don’t want to receive the reports.",App doesn’t work,sdvca
2024-08-20T00:12:17Z,False,1,This app is completely useless. The city just uses it to pretend they care about cleaning things up. All reports get closed immediately without fixing the issues or ignored entirely. Don’t waste your time expecting city officials to do their jobs.,"Find it, ignore it",Big10scammers
2026-01-30T15:42:20Z,False,1,"City of Seattle doesn’t do their “fix it” part, and they removed the most needed parking violation report, because the city doesn’t provide services to citizens. Not worth getting your hopes up that something will be done by your city government.","Summary is spot on, pointless",Lewsays
