rating,review
1,I tried to use this app to report several items in my area in San Jose and all 3 inquires got brushed off to: you need to do this and call here and report this to another department.  I thought this app was a one stop shop. NOPE. For me it's useless . If my inquiry needed to be referred to another department ... then forward it .. not just tell to do other stuff. I'm uninstalling this app now.
1,"Don't bother. They must have intended this app to make people feel good and that their concerns will get attention, but submissions are closed with no action or response."
1,"Not only does the location service not work, but Live Chat has an attitude. Also if you try to pinpoint a location on a map, the developers have misappropriated the pin so it confuses the users. You cannot use/move the pin to indicate your location as most people would think. If you see a pin on a map it has a meaning that only the City knows, because they don't explain it on any sort of Legend. So there are some big misses on the UI."
1,"Sorry to pile on, but the broken location feature makes this a non-starter for me.  I  make a lot of graffiti reports, most of it off the beaten path (e.g. walking trails).  I have no clue of the address,  usually, and depend upon the map to say, ""It's r-i-g-h-t here.""  I've been forced to reinstall the ""San Jose Clean"" app, and will continue to use it for as long as it keeps working."
1,Why you don't have a developer support feature in the app is beyond me. The location feature which is a required  entry in any request is not working so we are unable to enter our requests.
1,All it says is no internet connection please try again .
1,Can't login because it says my email is in use.  I created my account on the website and now can't log in using the app. Website requires 8 character password and mobile app is asking for a pin. Please fix!
4,"Looks like this replaces the old ""San Jose Clean"" app.  A great improvement and hopefully the city actually monitors and responds to the requests!   NOTE:  The mobile version and Desktop website will not let you use the same account because the mobile requires a 4 digit PIN#  and the website requires 8 digits minimum.  Please fix it and I'll give you 5 STARS."
5,Good
5,"Wow...such a clean, easy-to-use interface to report all the things I've wanted to but didn't due to lack of immediately accessible contact numbers. I love the map which shows all the reported items that were publicly shared. Suggestion: A ""San Jose Events"" button would be a convenient link to festivals/ convention center/arena/community center/etc goings-on. Great app nonetheless!"
5,The greatest thing for San Jose since the invention of the internet.
