rating,review
5,"I was extremely impressed with this app. The app isn't super fancy but is easy to use and gets the job done. It was easy to report my issue and attach a photo. Within 1 hour of reporting it, a city of seattle truck appeared (i reported a huge branch blocking the sidewalk) and within another hour it was fixed! Thank you City of Seattle!"
1,"So you can't use this app to keep track of any requests that you didn't make through the app? The three categories of requests (recent, yours, and favorites) are completely useless? Unimplemented functionality is pointlessly repeated across multiple screens to make it look like the app actually does stuff? Lame."
4,Could use more than one photo. Often the request is dismissed without explanation.
5,Easy user friendly
3,Ok
5,Good app to report unwanted things where you live.
1,Very Very Very slow response if any... Don't use this app if you want anything done right away. Just call 911.
5,"I exclusively use this app to report homeless people, time to clean this dump up. Snowflakes that have never ventured beyond their daddy's watchful gaze dont have a clue what is actually happening in this city. Cant walk more than two blocks without someone shooting a needle in his arm, there are heroine block parties happening in Belltown every day. Tents clogging up the sidewalks, and I've seen enough grown men taking a dump on the wall of my building to last the rest of my life"
5,Very helpful for cleaning up trash
1,A cruel app used by even crueler people to try and arrest and report homeless people in Seattle. The Seattle government should be ashamed for making this anti American app.
3,"Submit button no longer works for graffiti, else 5 stars. Have had trash and needles dumped by degens without care on playgrounds, yards, and street corners cleaned up promptly."
5,Unless you ever walk outside your house or apartment and find needles and poop in around your area and bus stop you are unware and out of touch. You never get down into the streets every day to be threatened by meth and heroin addicts. You do not have a clue. You never ride the bus. You live in a world out of touch with what is really happening in Seattle.
5,"Reported some needles found nearby Denny park, and they cleaned it up by the next morning. Huge Kudos and thanks to the developers and workers of this project!"
5,No more guessing what the address is. App does it for you.
1,"The cities way to punish homelessness, a problem it is unwilling to solve"
3,"What happened to the ""abandoned car"" option?? Bring it back! Glad you included bike/scooter complaints and health violations as categories."
4,"overall, a helpful app. Sometimes the GPS locator is flakey and sometimes things don't get addressed as quickly as I think they should, but still way better than trying to figure out who to call or something. One thing I would like to see added is the ability to edit or cancel requests. A few times I have reported something and then the problem was addressed before anyone at the city likely even saw my request. Another mention that the ability to modify or delete requests would be very welcome!"
5,The signs I reported were fixed!
5,Thank you for picking up the illegality dumped garbage.
5,I've been very happy with this app when I've needed city services.
1,Bad. Facist.
5,"Great for reporting illegal dumping and needles, gets cleaned up really quick. Odd reviews though, lots of people are confused about this app's purpose it seems"
5,Seems to work well enough as intended and easier than reporting via website. For those bleeding hearts that don't even live in this city: Kindly mind your own business. You have no stake in this matter and don't have to deal with the constant trouble brought about by these people. It's too bad there are people that think they're above the law because they're poor or homeless.
1,App never opens. Pixel 3 with all updates
1,Will not open. Absolutely worthless.
1,Won't open. Google pixel 3 with Android 10
1,I've installed and uninstalled several times. The app will not open. I keep getting a message asking if I would like to report there is a problem. Which I do everytime.
1,App crashes on every open attempt.
5,"Great to have an option to report things affecting your home and neighborhood. I've had so much illegal dumping, and litter, and illegal fires, and exposed needles, and vandalism, and sidewalk blockage, and public urination, and trespassing, and junk cars dumped, and open drug use, and that's just from the year I've been in this part of town. I never knew what to do, and calling other city services always went no where, so kudos for having some way of expressing concerns and having them addressed"
5,"Used this app multiple times to report pedestrian signal issues, road markings, and illegal dumping. All resolved with a couple weeks at most. This is a great engagement tool!"
5,"This is fantastic. I've reported several things, and always get a prompt reply. Some of the things I've reported have actually been fixed! This is the way to cut through the bureaucracy and get to a real live person who can respond to the issue. Thank you City of Seattle!"
1,Disgusting
5,"This is very useful. Dont listen to crybaby enablers who want to sit on their high horses and feel superior because of their ""believe-eeze"". Wanna help ""houseless"" people? Let some live with YOU since your so big hearted and benevolent."
