rating,review
2,"...if someone really took action and not just marked a request complete without actually doing something. Once they have ""completed"" and closed your request you can't reopen it (since no actio was ever actually taken)."
3,"I have to enter a location. And a description. And a location & description! The location is already geotagged in the photo. The description will always be ""graffiti"". If you really want this app to be used by busy people, you need to require only the geotagged image, and maybe the popup menu of type of property (but really you should have workers who monitor incoming images and notate any additional info from the image.)"
5,Nice app the city responds fast
3,Love having the ability to easily make requests to the city. It would be great if there was the ability to delete or edit a request (when one has made a mistake in the description or location it seems the only option is to create a duplicate entry).
3,Seems good for reporting problems but no tracking for follow up (as in did the city ever do anything) and no way to delete old reported problems. Problems with uploading requests means I have doubles
3,Can't edit address. Must use clunky map. Should be able to edit or delete requests
3,"This app, as useful as it could be, is hindered by what seems to be a simple problem to fix, the inability to drop a pin on the map instead of actually having to be physically located at that place in order to report something (in my case, a pothole that needs repairing). I understand the need for accurate locations, but a dropped pin would achieve that without requiring the use of location services and being onsite when reporting issues."
1,Failed request every time I use it.
1,Every time I attempt to report a problem the app says that the request failed.
3,Would be nice to get an actual resolution notice when my tickets are closed and the things I reported are unchanged. Do they need more info? Do I need to contact someone else? Simply closing the ticket makes no sense.
5,"When I first reported the let on the side of our building, they closed my request and it was still not cleaned. I thought ""oh well, it was worth a try."" Then a few days later, I came out and it was done. It may not work ALL of the time, but I think that it is a good start. I think it good of the city to produce this app in an effort to at LEAST try to get these sort of things resolved."
4,"The city doesn't always respond, even after repeated requests, escalating the language each time."
1,"After entering a report in detail, I just get an ""unprocessable entity"" error every time I submit. Disappointing."
5,The process works!
2,"I used to it report illegal dumping. Both reports had their status updated to ""closed"" within a few hours. However, no clean-up! I called the city and was told that ""closed"" simply meant they had routed the request to a crew and it could take up to 10 days to get the mess cleaned up. Seems that there should be an ""in process"" status for the app."
3,"Looks nice, but it kept failing to register me as a reporter when using mobile data, leaving me unable to use it to file reports.  Using WiFi eventually worked."
2,"Used it 3 times to report overflowing garbage cans or overgrown yards. Ignored by City of Seattle once, and long delayed and therefore useless responses received both other times. Wasn't worth the app space."
3,So far I'm 2 for 5. Many times I think (and once I was told) that the photo doesn't get passed on to the person it needs to get to.
2,"I downloaded it to report potholes,  dead signs, etc...  The app's ability to find my location is almost nonexistent.  I use other apps that need to pinpoint my location and they manage to find me within whatever block I'm in,  many times in front of my own building if I'm home.  This one can't do any better than a half mile away.  Add the inept folks on the other end who couldn't interpret the data and my request to fix a broken wood sign post leaning across a busy sidewalk became an abandoned vehicle in the Cascade neighborhood.  Needs a LOT of improvement"
5,We have had several blocked storm drains on our street for years - I reported them with Find it Fix it and they were cleared within 2 weeks!
3,Good idea and fairly clean functional app. I've reported illegal dumping of furniture and had the furniture cleaned up quickly.  However it is unclear to me if parking enforcement notices are taken seriously or if I am just wasting my time. It would be nice if I could get more of a response of what the result of my report is so I could know. Giving only three stars until a feedback feature is provided with a response from the city.
5,Fast and effective
3,"I found it cumbersome to move the dot on the map to the correct location. It was oddly not located at my current location (which was correct on the map), and it took some niggling to get it to the right place. Otherwise, my first (and only so far) report went in smoothly and has been acknowledged in the app and via email."
5,"I bike commute to work everyday during the week. The ride consists of me going from one end of Denny Way from the top of Capitol Hill to the other, and back at the end of the day. I have reported two potholes on my ride and both were fixed within a week!  This is the best mix of citizen responsibility and government responsiveness. Download the app and try it for yourself."
5,So glad to have an alternative to filling out the form online. I've seen some results too!
2,I wish there was a find it fix it for the app. Got several crashes and background disappeared making the text unreadable.
1,"Nice idea, but broken and frustrating, making it useless.  I wrote a report, and the app promptly crashed."
5,Great idea and great app. Finally a solution to help empower more people to fight the graffiti problem.
